james harden, nop
anthony davis, hou
demarcus cousins, hou
lebron james, cho
giannis anteto, atl
karl towns, lal
john wall, brk
jimmy butler, phi
isaiah thomas, pho
steph curry, sac
andre drummond, orl
kyrie irving, cho
kevin love, cho
nikola jokic, ind
draymond green, sac
kemba walker, cle
paul george, den
klay thompson, mil
